ElementName,s,betax,betay,alphax,alphay,etax,etay,xAperture,yAperture,xmin,xmax,ymin,ymax,sigma_x,sigma_y,Particles,Cx,Cy,Charge,ElementCodes
Q1L1,1.345,0.2062987167810718,10.46095977584509,1.997360129408377,-27.00260527515183,0.0,-0.0001233893151681048,99.99993672142577,99.88750239627429,,,,,,,50000,0.4200092038892462,-9.659614385889077,5.4e-10,27
Q1L1,1.39,0.07247412243049008,13.39940005646223,0.9467558002543608,-38.94700056205101,0.0,-0.0001554589724579392,99.99990578209228,99.86272810678531,,,,,,,50000,0.1263532975412839,-10.89711586390213,5.4e-10,27
Q1L1,1.435,0.03926671064210718,17.61230877472145,-0.2161989806840476,-55.60645054261394,0.0,-0.0001963326260972439,99.9998619377883,99.83383013726942,,,,,,,50000,-0.17100461747113319,-12.46227840790725,5.4e-10,27
Q1L1,1.48,0.1106171678273639,23.60971480933852,-1.353497670422749,-78.99780418315737,0.0,-0.0002481083987555603,99.99979988055382,99.79994038591113,,,,,,,50000,-0.4631690465383257,-14.402216299886138,5.4e-10,27
LL1M1,1.526666666666666,0.2926978082405198,31.5585779535737,-2.54823033843059,-91.33497747902504,0.0,-0.0003082986645252776,99.99971646931589,99.76186966502024,,,,,,,50000,-0.7604136699053319,-16.62745892564485,5.4e-10,7
LL1M1,1.573333333333333,0.5862868310010741,40.65891060542319,-3.742963006438432,-103.6721507748927,0.0,-0.0003684889302949949,99.99961856415622,99.72379894412936,,,,,,,50000,-1.057658293272338,-18.852701551403563,5.4e-10,7
LL1M1,1.62,0.9913842361090272,50.91071276488699,-4.937695674446275,-116.0093240707603,0.0,-0.0004286791960647122,34.98857359837131,11.98572822323846,,,,,,,50000,-1.3549029166393438,-21.07794417716228,5.4e-10,7
MBH,1.62,0.9913842361090272,50.91071276488699,-4.937695674446275,-116.0093240707603,0.0,-0.0004286791960647122,34.98857359837131,11.98572822323846,,,,,,,10901,-1.362958059421193,-5.950513970843737,1.1773079999999999e-10,22
BM1,1.668782222222222,1.531514957613823,62.85821592067094,-6.127561450277666,-128.9057825283724,0.001064081027909428,-0.0004915854605691586,34.985433226332354,11.945931629651021,,,,,,,9335,-1.652747022052559,-5.623950913649506,1.0081799999999999e-10,0
BM1,1.717564444444444,2.185530378478737,76.06395278328854,-7.270783545680247,-141.8022390211384,0.004254658633453519,-0.000554415988729033,34.98166841981241,11.90613504140371,,,,,,,8176,-1.955610338937291,-5.328744287392933,8.830079999999999e-11,0
BM1,1.766346666666667,2.948451318101951,90.52791930569516,-8.358659848728047,-154.6986905802009,0.00956553460785422,-0.0006170951748972368,34.977323856644844,11.866338465592781,,,,,,,7220,-2.260560168836509,-5.019076781070396,7.797599999999999e-11,0
BM1,1.815128888888889,3.814469458392309,106.2501109401755,-9.3829096235522,-167.5951347554842,0.01698659234699859,-0.000679547708448342,34.972400433123624,11.82654190637656,,,,,,,6486,-2.5493655032771216,-4.750531358875713,7.00488e-11,0
BM1,1.863911111111111,4.776991556258471,123.2305222022114,-10.33573650069532,-180.4915691109475,0.02650369564314928,-0.000741698710461027,34.96689943750135,11.78674536655565,,,,,,,5865,-2.833537386745028,-4.518872334350529,6.3342e-11,0
BM1,1.912693333333333,5.828689652727681,141.4691466841179,-11.20988782863336,-193.3879912292214,0.03809871566063736,-0.0008034738763522674,34.96082254726142,11.746948847603619,,,,,,,5304,-3.072702013729505,-4.263027270217075,5.7283199999999994e-11,0
BM1,1.961475555555556,6.961556877258663,160.9659770713394,-11.99870988529777,-206.2843987162096,0.0517495655299367,-0.0008647996174158568,34.95417182562455,11.707152349710059,,,,,,,4910,-3.306396036779959,-4.068930546262371,5.3028e-11,0
BM1,2.010257777777778,8.166968422018781,181.7210051613667,-12.69619852920355,-219.1807892056452,0.06743024249364195,-0.0009256032009951844,34.94694971729549,11.66735587183552,,,,,,,4554,-3.5749949443253652,-3.8600722402657492,4.91832e-11,0
