s,betax,betay,alphax,alphay,etax,etay,xAperture,yAperture,xmin,xmax,ymin,ymax,sigma_x,sigma_y,Particles,p,Cx,Cy,Charge,Temp
0.0,2.0,2.0,0.0,0.0,0.0,0.0,10000.0,10000.0,-4.790672507562064,8.7811579400968,-11.78285907323007,1.78116151278154,2.221712379032437,2.226158862369437,50000,400.0007358134867,2.0,-5.0,0.0,38
0.0,2.0,2.0,0.0,0.0,0.0,0.0,10000.0,10000.0,-4.790672507562064,8.7811579400968,-11.78285907323007,1.78116151278154,2.221712379032437,2.226158862369437,50000,400.0007358134867,2.0,-5.0,5.4e-10,25
0.0,2.0,2.0,0.0,0.0,0.0,0.0,100.0,100.0,-4.790672507562064,8.7811579400968,-11.78285907323007,1.78116151278154,2.221712379032437,2.226158862369437,50000,400.0007358134867,2.0,-5.0,5.4e-10,35
0.0,2.0,2.0,0.0,0.0,0.0,0.0,100.0,100.0,-4.790672507562064,8.7811579400968,-11.78285907323007,1.78116151278154,2.221712379032437,2.226158862369437,50000,400.0007358134867,2.0,-5.0,5.4e-10,21
0.05,2.00125,2.00125,-0.025,-0.025,0.0,0.0,100.0,100.0,-4.825030714398535,8.895786374638092,-11.862857590948622,1.818149997572839,2.222406552384142,2.226854453927707,50000,400.0007358134867,2.0,-5.0,5.4e-10,15
0.1,2.005,2.005,-0.05,-0.05,0.0,0.0,100.0,100.0,-4.899041745568443,9.014710986282449,-11.98076289468324,1.931039093331866,2.224487779288344,2.228939874848496,50000,400.0007358134867,2.0,-5.0,5.4e-10,15
0.15,2.01125,2.01125,-0.075,-0.075,0.0,0.0,100.0,100.0,-5.011601523798016,9.133635597926803,-12.09866819841785,2.043928189090893,2.2279521726275093,2.232411230181812,50000,400.0007358134867,2.0,-5.0,5.4e-10,15
0.2,2.02,2.02,-0.1,-0.1,0.0,0.0,100.0,100.0,-5.12416130202759,9.25256020957116,-12.216573502152473,2.15681728484992,2.232793294064033,2.2372620686532003,50000,400.0007358134867,2.0,-5.0,5.4e-10,15
0.25,2.03125,2.03125,-0.125,-0.125,0.0,0.0,100.0,100.0,-5.236721080257163,9.378432466211809,-12.334478805887091,2.269706380608947,2.2390022134219096,2.243483442164706,50000,400.0007358134867,2.0,-5.0,5.4e-10,15
0.3,2.045000000000001,2.045000000000001,-0.15,-0.15,0.0,0.0,100.0,100.0,-5.349280858486737,9.510965469822768,-12.4523841096217,2.382595476367975,2.246567590033369,2.251063987304732,50000,400.0007358134867,2.0,-5.0,5.4e-10,15
0.35,2.061250000000001,2.061250000000001,-0.175,-0.175,0.0,0.0,100.0,100.0,-5.46184063671631,9.643498473433723,-12.57028941335632,2.495484572127002,2.255475774345113,2.259990027158005,50000,400.0007358134867,2.0,-5.0,5.4e-10,15
0.4,2.080000000000001,2.080000000000001,-0.2,-0.2,0.0,0.0,100.0,100.0,-5.574400414945885,9.776031477044684,-12.68819471709093,2.608373667886029,2.265710927703767,2.270245691331069,50000,400.0007358134867,2.0,-5.0,5.4e-10,15
0.45,2.101250000000002,2.101250000000002,-0.225,-0.225,0.0,0.0,100.0,100.0,-5.686960193175458,9.90856448065564,-12.80610002082555,2.721262763645056,2.277255157939941,2.281813051807972,50000,400.0007358134867,2.0,-5.0,5.4e-10,15
0.4999999999999999,2.125000000000002,2.125000000000002,-0.2499999999999999,-0.2499999999999999,0.0,0.0,100.0,100.0,-5.79951997140503,10.0410974842666,-12.92400532456016,2.834151859404083,2.290088668152632,2.294672272032635,50000,400.0007358134867,2.0,-5.0,5.4e-10,15
0.5499999999999999,2.151250000000002,2.151250000000002,-0.2749999999999999,-0.2749999999999999,0.0,0.0,100.0,100.0,-5.912079749634605,10.17363048787756,-13.04191062829478,2.96531175196744,2.304189915963384,2.308801766481891,50000,400.0007358134867,2.0,-5.0,5.4e-10,15
0.6,2.180000000000002,2.180000000000002,-0.2999999999999999,-0.2999999999999999,0.0,0.0,100.0,100.0,-6.024639527864179,10.30616349148851,-13.159815932029389,3.0965399931234048,2.319535780461864,2.3241783679452537,50000,400.0007358134867,2.0,-5.0,5.4e-10,15
0.65,2.211250000000002,2.211250000000002,-0.3249999999999998,-0.3249999999999998,0.0,0.0,100.0,100.0,-6.137199306093752,10.43869649509947,-13.27772123576401,3.2277682342793708,2.3361017340962547,2.340777499759366,50000,400.0007358134867,2.0,-5.0,5.4e-10,15
0.7000000000000001,2.245000000000002,2.245000000000002,-0.3499999999999998,-0.3499999999999998,0.0,0.0,100.0,100.0,-6.252984396783982,10.57122949871043,-13.39562653949862,3.358996475435336,2.353862016865361,2.358573350348688,50000,400.0007358134867,2.0,-5.0,5.4e-10,15
0.7500000000000001,2.281250000000003,2.281250000000003,-0.3749999999999998,-0.3749999999999998,0.0,0.0,100.0,100.0,-6.387292706806086,10.70376250232139,-13.51353184323324,3.490224716591302,2.372789810333949,2.377539047589048,50000,400.0007358134867,2.0,-5.0,5.4e-10,15
0.8000000000000002,2.320000000000003,2.320000000000003,-0.3999999999999997,-0.3999999999999997,0.0,0.0,100.0,100.0,-6.52160101682819,10.83629550593234,-13.631437146967851,3.621452957747268,2.3928574092070343,2.397646830725185,50000,400.0007358134867,2.0,-5.0,5.4e-10,15
0.8500000000000002,2.361250000000003,2.361250000000003,-0.4249999999999997,-0.4249999999999997,0.0,0.0,100.0,100.0,-6.655909326850294,10.9688285095433,-13.74934245070247,3.752681198903234,2.414036388449562,2.418868217824752,50000,400.0007358134867,2.0,-5.0,5.4e-10,15
0.9000000000000002,2.405000000000003,2.405000000000003,-0.4499999999999997,-0.4499999999999997,0.0,0.0,100.0,100.0,-6.790217636872398,11.10136151315426,-13.86724775443708,3.8839094400592,2.436297764213036,2.44117416702683,50000,400.0007358134867,2.0,-5.0,5.4e-10,15
0.9500000000000004,2.451250000000003,2.451250000000003,-0.4749999999999996,-0.4749999999999996,0.0,0.0,100.0,100.0,-6.924525946894502,11.23389451676522,-13.9851530581717,4.0151376812151645,2.459612147117813,2.464535230130797,50000,400.0007358134867,2.0,-5.0,5.4e-10,15
1.0,2.500000000000004,2.500000000000004,-0.4999999999999996,-0.4999999999999996,0.0,0.0,100.0,100.0,-7.058834256916606,11.366427520376169,-14.10305836190632,4.14636592237113,2.483949886728551,2.4889216973607,50000,400.0007358134867,2.0,-5.0,5.4e-10,15
1.045,2.598168238381481,2.494560387563053,-1.69638334255108,0.6200542310626027,0.0,-2.234668997507213e-06,99.99999997485976,99.99775766942632,-7.257678476335803,11.60692106997198,-14.05912699541315,4.223843193471154,2.53224705603375,2.486203832222191,50000,400.0007358134867,2.0205077016353608,-4.946663066269225,5.4e-10,26
1.09,2.809533655083678,2.389907319135406,-3.032635819757385,1.689677170585872,0.0,-8.847253974908304e-06,99.99999960185627,99.99107650611236,-7.615938204437807,12.09410879693126,-13.71676111418936,4.21928400796309,2.633232560145605,2.433482103828473,50000,400.0007358134867,2.082451914116313,-4.787743776215513,5.4e-10,26
1.135,3.151523618784784,2.194552613748305,-4.618933282194457,2.621872450191166,0.0,-1.956629239133629e-05,99.99999801856842,99.98009305864518,-8.141482672191827,12.83834542855634,-13.08311646849551,4.132781767598108,2.788907973782242,2.3319325139744658,50000,400.0007358134867,2.187104944986821,-4.526495101750302,5.4e-10,26
1.18,3.652335671327971,1.924385188221289,-6.586068132623803,3.340821198621371,0.0,-3.394861528595844e-05,99.99999388612652,99.96503180503312,-8.845855534304407,13.85544902479352,-12.171436797531909,3.966108600763623,3.002381172428839,2.183828270931458,50000,400.0007358134867,2.33661636538483,-4.16826451850813,5.4e-10,26
1.24,4.48640425633648,1.546236721076223,-7.315074950851347,2.961653253796402,0.0,-5.531644766772727e-05,99.9999833878784,99.94235952768172,-9.910656477559602,15.40243370006449,-10.778354180385591,3.6917694441267184,3.327705157307164,1.95805247079784,50000,400.0007358134867,2.5671291884149974,-3.629016410424404,5.4e-10,5
1.3,5.407953659532295,1.213588407310153,-8.044081769078891,2.582485308971434,0.0,-7.668428004949611e-05,99.999967749306,99.91968725033033,-10.9754574208148,16.94941837533545,-9.405087280706455,3.4174302874898133,3.6536719418784087,1.735698303190642,50000,400.0007358134867,2.797642011445165,-3.089768302340679,5.4e-10,5
1.345,6.023126231446037,1.018370711601063,-5.522451452640809,1.788578769082009,0.0,-9.462921316820568e-05,99.9999516873622,99.90170185543568,-11.63719793926716,17.90541045128258,-8.493193553195189,3.249985746292385,3.855956390738456,1.591122932877757,50000,400.0007358134867,2.9380489356946,-2.71902137198989,5.4e-10,27
1.39,6.386966556011083,0.8867323753607337,-2.501397587405608,1.158897896620851,0.0,-0.000116981880602,99.9999297565506,99.8814728514308,-12.01559022095544,18.43950293736268,-7.78769455711049,3.156897844524073,3.970681971352688,1.486117319059707,50000,400.0007358134867,3.0116163074335107,-2.410256440734553,5.4e-10,27
1.435,6.46657069054037,0.8065864869015628,0.7458704638243413,0.6356259695434389,0.0,-0.0001447150652669,99.99989994319942,99.85853852077383,-12.10142091774564,18.53911115362572,-7.276653583112868,3.145440822122794,3.9952134855472554,1.418945053467476,50000,400.0007358134867,3.016669563792619,-2.1564133683022777,5.4e-10,27
1.48,6.254739625734047,0.7705741240159504,3.925685631641803,0.1707166378895361,0.0,-0.0001789862228585,99.99985950986552,99.8323753981092,-11.89260011692258,18.20188803777111,-6.936105810301319,3.257203117171479,3.929002132536709,1.388584378065991,50000,400.0007358134867,2.9530952195175573,-1.951685460114006,5.4e-10,27
1.526666666666666,5.894056291418609,0.7575491132769772,3.803242960831856,0.1083907350884619,0.0,-0.0002183724692539,99.99980668243862,99.80336969992952,-11.52440257912599,17.62753223934703,-6.767139979202208,3.410109401119776,3.813768708421413,1.378661639973179,50000,400.0007358134867,2.851948746305375,-1.7631312985795922,5.4e-10,7
1.573333333333333,5.544800939712101,0.7503411867994375,3.680800290021909,0.0460648322873877,0.0,-0.0002577587156493,99.99974544165748,99.77436400174984,-11.1562050413294,17.05317644092295,-6.598174148103096,3.563015685068072,3.698805044805389,1.374159178285067,50000,400.0007358134867,2.750802273093193,-1.574577137045177,5.4e-10,7
1.62,5.20697357061452,0.7489503445833314,3.558357619211963,-0.0162610705136864,0.0,-0.0002971449620446,34.99249875404833,12.045358303570191,-10.78800750353282,16.478820642498867,-6.429208317003984,3.7159219690163687,3.5841371000435203,1.375130235360848,50000,400.0007358134867,2.6496557998810117,-1.3860229755107631,5.4e-10,7
1.62,5.20697357061452,0.7489503445833314,3.558357619211963,-0.0162610705136864,0.0,-0.0002971449620446,34.99249875404833,12.045358303570191,-10.78800750353282,16.478820642498867,-6.429208317003984,3.7159219690163687,3.5841371000435203,1.375130235360848,50000,400.0007358134867,2.6496557998810117,-1.3860229755107631,5.4e-10,22
1.668782222222222,4.856575758488179,0.7537150742057084,3.619982239548035,-0.0814124139093372,0.0010641332442382,-0.0003383070981621,34.99052813379716,12.015037680378969,-10.474648600057613,15.81321705831193,-6.252504276177873,3.876213890716998,3.460837815305024,1.382136560418211,50000,400.0007358134867,2.540719930630011,-1.188595332303002,5.4e-10,0
1.717564444444444,4.501505115125273,0.764836256080301,3.654051076623627,-0.1465637465629819,0.0042547089594124,-0.0003794115306027,34.98810257453156,11.98471706145763,-10.30216520760711,15.03410483678468,-6.094866739194788,4.036502621970702,3.335398932724355,1.395043782085506,50000,400.0007358134867,2.421678111332328,-0.9911896766625208,5.4e-10,0
1.766346666666667,4.14446483053066,0.7823138825960454,3.660304711755209,-0.2117150543792053,0.0095655817731587,-0.0004204006597816,34.98525164931791,11.954396451313327,-10.2693120417512,14.38589402915725,-5.974741910397148,4.196794121653888,3.219171959910803,1.413684839297831,50000,400.0007358134867,2.294496921709507,-0.793808262149414,5.4e-10,0
1.815128888888889,3.788173075924266,0.8061479413620841,3.638695466619011,-0.2768663249994053,0.0169866350952014,-0.0004612171086241,34.98197633004005,11.92407585230651,-10.37616349152214,13.904788425670851,-5.854599679681186,4.3570955394597375,3.131834920520249,1.437830817664107,50000,400.0007358134867,2.159472103739297,-0.5964537567166828,5.4e-10,0
1.863911111111111,3.435342315377921,0.8363384152017475,3.589387769293582,-0.342017546135773,0.0265037327370654,-0.000501803828959,34.97827798752349,11.89375526545429,-10.6224765368612,14.06088403114436,-5.734425415592338,4.517414007059785,3.101289469966809,1.467203181991741,50000,400.0007358134867,2.016932757394579,-0.3991287670469149,5.4e-10,0
1.912693333333333,3.088658651567036,0.8728852822013696,3.512756902071161,-0.4071687055946822,0.0380987458876387,-0.0005421042101868,34.97415838882986,11.8634346904645,-11.00769152926075,14.45647628652166,-5.627824887276227,4.677756625485789,3.160402211095926,1.5014877016275638,50000,400.0007358134867,1.867240141368361,-0.2018358302576102,5.4e-10,0
1.961475555555556,2.750761372489723,0.9157885157726744,3.409386143886853,-0.4723197912998989,0.0517495877070805,-0.0005820621871148,34.969619693788175,11.8331141257819,-12.07964260548232,14.993508480805987,-5.572272700998431,4.8381304525566,3.339492966919468,1.540348190768624,50000,400.0007358134867,1.710786273936226,-0.0045774058465824,5.4e-10,0
2.010257777777778,2.42422285497121,0.9650480847285738,3.280062329138254,-0.537470791315567,0.0674302554725986,-0.0006216223467499,34.964664450769654,11.802793568646347,-13.42561908394282,15.67116533832206,-5.516666400481913,5.056698762548361,3.657646431175325,1.583438970105812,50000,400.0007358134867,1.547992342548475,0.1926441320818214,5.4e-10,0
